#R[cm]          y[R_S0]         x        tau
3.27732218e+15  0.00400521518  1  1.87754631e-06
3.29307853e+15  0.00402447102  1  1.87754631e-06
3.30883489e+15  0.00404372686  1  1.87754631e-06
3.32459125e+15  0.0040629827  1  1.87754631e-06
3.3403476e+15  0.00408223855  1  1.87754631e-06
3.35610396e+15  0.00410149439  1  1.87754631e-06
3.37186032e+15  0.00412075023  1  1.87754631e-06
3.38761667e+15  0.00414000607  1  1.87754631e-06
3.40337303e+15  0.00415926192  1  1.87754631e-06
3.41912939e+15  0.00417851776  1  1.87754631e-06
3.43488574e+15  0.0041977736  0.99999997  1.89244747e-06
3.4506421e+15  0.00421702944  1  1.89244747e-06
3.46639846e+15  0.00423628528  1  1.89244747e-06
3.48215481e+15  0.00425554113  1  1.89244747e-06
3.49791117e+15  0.00427479697  1  1.89244747e-06
3.51366753e+15  0.00429405281  1  1.89244747e-06
3.52942388e+15  0.00431330865  1  1.89244747e-06
3.54518024e+15  0.00433256449  1  1.89244747e-06
3.5609366e+15  0.00435182034  1  1.89244747e-06
3.57669295e+15  0.00437107618  1  1.89244747e-06
3.59244931e+15  0.00439033202  1  1.89244747e-06
3.60820566e+15  0.00440958786  1  1.89244747e-06
3.62396202e+15  0.00442884371  0.99999997  1.90734863e-06
3.63971838e+15  0.00444809955  1  1.90734863e-06
3.65547473e+15  0.00446735539  1  1.90734863e-06
3.67123109e+15  0.00448661123  1  1.90734863e-06
3.68698745e+15  0.00450586707  1  1.90734863e-06
3.7027438e+15  0.00452512292  1  1.90734863e-06
3.71850016e+15  0.00454437876  1  1.90734863e-06
3.73425652e+15  0.0045636346  1  1.90734863e-06
3.75001287e+15  0.00458289044  1  1.90734863e-06
3.76576923e+15  0.00460214629  1  1.90734863e-06
3.78152559e+15  0.00462140213  1  1.90734863e-06
3.79728194e+15  0.00464065797  1  1.90734863e-06
3.8130383e+15  0.00465991381  1  1.90734863e-06
3.82879466e+15  0.00467916965  1  1.90734863e-06
3.84455101e+15  0.0046984255  1  1.90734863e-06
3.86030737e+15  0.00471768134  1  1.90734863e-06
3.87606373e+15  0.00473693718  1  1.90734863e-06
3.89182008e+15  0.00475619302  1  1.90734863e-06
3.90757644e+15  0.00477544887  1  1.90734863e-06
3.9233328e+15  0.00479470471  1  1.90734863e-06
3.93908915e+15  0.00481396055  1  1.90734863e-06
3.95484551e+15  0.00483321639  1  1.90734863e-06
3.97060187e+15  0.00485247223  1  1.90734863e-06
3.98635822e+15  0.00487172808  1  1.90734863e-06
4.00211458e+15  0.00489098392  1  1.90734863e-06
4.01787094e+15  0.00491023976  1  1.90734863e-06
4.03362729e+15  0.0049294956  1  1.90734863e-06
4.04938365e+15  0.00494875145  1  1.90734863e-06
4.06514001e+15  0.00496800729  1  1.90734863e-06
4.08089636e+15  0.00498726313  1  1.90734863e-06
4.09665272e+15  0.00500651897  1  1.90734863e-06
4.11240908e+15  0.00502577481  1  1.90734863e-06
4.12816543e+15  0.00504503066  1  1.90734863e-06
4.14392179e+15  0.0050642865  1  1.90734863e-06
4.15967815e+15  0.00508354234  1  1.90734863e-06
4.1754345e+15  0.00510279818  1  1.90734863e-06
4.19119086e+15  0.00512205402  1  1.90734863e-06
4.20694722e+15  0.00514130987  1  1.90734863e-06
4.22270357e+15  0.00516056571  1  1.90734863e-06
4.23845993e+15  0.00517982155  1  1.90734863e-06
4.25421629e+15  0.00519907739  1  1.90734863e-06
4.26997264e+15  0.00521833324  1  1.90734863e-06
4.285729e+15  0.00523758908  1  1.90734863e-06
4.30148536e+15  0.00525684492  1  1.90734863e-06
4.31724171e+15  0.00527610076  1  1.90734863e-06
4.33299807e+15  0.0052953566  1  1.90734863e-06
4.34875443e+15  0.00531461245  1  1.90734863e-06
4.36451078e+15  0.00533386829  1  1.90734863e-06
4.38026714e+15  0.00535312413  1  1.90734863e-06
4.3960235e+15  0.00537237997  1  1.90734863e-06
4.41177985e+15  0.00539163582  1  1.90734863e-06
4.42753621e+15  0.00541089166  1  1.90734863e-06
4.44329257e+15  0.0054301475  1  1.90734863e-06
4.45904892e+15  0.00544940334  1  1.90734863e-06
4.47480528e+15  0.00546865918  1  1.90734863e-06
4.49056164e+15  0.00548791503  1  1.90734863e-06
4.50631799e+15  0.00550717087  1  1.90734863e-06
4.52207435e+15  0.00552642671  1  1.90734863e-06
4.53783071e+15  0.00554568255  1  1.90734863e-06
4.55358706e+15  0.0055649384  1  1.90734863e-06
4.56934342e+15  0.00558419424  1  1.90734863e-06
4.58509978e+15  0.00560345008  1  1.90734863e-06
4.60085613e+15  0.00562270592  1  1.90734863e-06
4.61661249e+15  0.00564196176  1  1.90734863e-06
4.63236884e+15  0.00566121761  1  1.90734863e-06
4.6481252e+15  0.00568047345  1  1.90734863e-06
4.66388156e+15  0.00569972929  1  1.90734863e-06
4.67963791e+15  0.00571898513  1  1.90734863e-06
4.69539427e+15  0.00573824098  1  1.90734863e-06
4.71115063e+15  0.00575749682  0.999999985  1.91479921e-06
4.72690698e+15  0.00577675266  1  1.91479921e-06
4.74266334e+15  0.0057960085  1  1.91479921e-06
4.7584197e+15  0.00581526434  1  1.91479921e-06
4.77417605e+15  0.00583452019  0.999999985  1.92224979e-06
4.78993241e+15  0.00585377603  1  1.92224979e-06
4.80568877e+15  0.00587303187  1  1.92224979e-06
4.82144512e+15  0.00589228771  1  1.92224979e-06
4.83720148e+15  0.00591154356  0.999999985  1.92970037e-06
4.85295784e+15  0.0059307994  1  1.92970037e-06
4.86871419e+15  0.00595005524  0.999999985  1.93715096e-06
4.88447055e+15  0.00596931108  1  1.93715096e-06
4.90022691e+15  0.00598856692  0.999999985  1.94460154e-06
4.91598326e+15  0.00600782277  1  1.94460154e-06
4.93173962e+15  0.00602707861  0.999999985  1.95205212e-06
4.94749598e+15  0.00604633445  1  1.95205212e-06
4.96325233e+15  0.00606559029  1  1.95205212e-06
4.97900869e+15  0.00608484613  1  1.95205212e-06
4.99476505e+15  0.00610410198  1  1.95205212e-06
5.0105214e+15  0.00612335782  1  1.95205212e-06
5.02627776e+15  0.00614261366  1  1.95205212e-06
